SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
0,08-Aug-17,07-Aug-18,8,1202,519755.22,5097.83,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-Aug-16,07-Aug-17,8,1202,519755.22,6556.52,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-Aug-15,07-Aug-16,8,1202,519755.22,6556.52,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-Aug-14,07-Aug-15,8,1202,519755.22,5102.83,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-Aug-17,07-Aug-18,8,1202,1400000,13304.87,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,
0,08-Aug-16,07-Aug-17,8,1202,1400000,16438.15,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,
0,08-Aug-15,07-Aug-16,8,1202,1400000,16438.15,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,365250
0,08-Aug-14,07-Aug-15,8,1202,285451.24,3931.23,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,12152.73
1,24-Nov-17,23-Nov-18,12,1202,3400000,26804.72,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,
1,24-Nov-16,23-Nov-17,12,1202,3400000,26804.72,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,
1,24-Nov-15,23-Nov-16,12,1202,3400000,26205.9,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,
1,24-Nov-14,23-Nov-15,12,1202,3400000,21617.71,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,159754.37
2,03-Feb-15,02-Feb-16,14,1202,300000,1956.2,5000031259,1999,11,0,Bus,2985,TOYOTA,Fare Paying Passengers,
1,09-May-18,08-May-19,17,1202,0,1993.3,5000031274,2000,12,12,Bus,2985,TOYOTA,Fare Paying Passengers,
1,09-May-17,08-May-18,17,1202,0,1949.3,5000031274,2000,12,12,Bus,2985,TOYOTA,Fare Paying Passengers,
1,28-Nov-15,27-Nov-16,15,1202,0,1956.2,5000031274,2000,12,12,Bus,2985,TOYOTA,Fare Paying Passengers,
1,07-Dec-14,06-Dec-15,10,1202,0,3219,5000031283,1999,0,164.3,Truck,13798,IVECO,General Cartage,
1,01-Jul-14,30-Jun-15,14,1202,0,2776.8,5000031341,1982,0,94,Truck,13798,FIAT,General Cartage,
2,04-Nov-15,03-Nov-16,12,1202,0,2599.7,5000031441,1985,1,36.7,Truck,6560,FIAT,General Cartage,
2,30-Oct-14,29-Oct-15,12,1202,0,2599.7,5000031441,1985,1,36.7,Truck,6560,FIAT,General Cartage,
1,28-Nov-17,27-Nov-18,10,1202,2550000,23784.79,5000031488,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-Nov-16,27-Nov-17,10,1202,2550000,23361.31,5000031488,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-Nov-15,27-Nov-16,10,1202,2550000,25098.64,5000031488,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-Nov-14,27-Nov-15,10,1202,2550000,36820.28,5000031488,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-Nov-17,27-Nov-18,10,1202,2550000,23784.79,5000031489,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-Nov-16,27-Nov-17,10,1202,2550000,23350.81,5000031489,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-Nov-15,27-Nov-16,10,1202,2550000,25088.64,5000031489,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-Nov-14,27-Nov-15,10,1202,2550000,36820.28,5000031489,2010,1,155.1,Truck,0,IVECO,General Cartage,
1,28-Nov-17,27-Nov-18,10,1202,650000,5864.41,5000031490,2010,1,80,Truck,11548,FIAT,General Cartage,
1,28-Nov-16,27-Nov-17,10,1202,650000,5742.34,5000031490,2010,1,80,Truck,11548,FIAT,General Cartage,
1,28-Nov-15,27-Nov-16,10,1202,650000,6206.01,5000031490,2010,1,80,Truck,11548,FIAT,General Cartage,
1,28-Nov-14,27-Nov-15,10,1202,650000,9206.14,5000031490,2010,1,80,Truck,11548,FIAT,General Cartage,
